title,Directors,casts,nation,year,imdbID,douban_url,Rating,Review,WatchedDate
霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies,彼得·杰克逊,马丁·弗瑞曼 伊恩·麦克莱恩 理查德·阿米蒂奇 伊万杰琳·莉莉 李·佩斯 卢克·伊万斯 本尼迪克特·康伯巴奇 肯·斯托特 詹姆斯·内斯比特 比利·康诺利 凯特·布兰切特 伊安·霍姆 克里斯托弗·李 雨果·维文 奥兰多·布鲁姆 马努·贝内特 艾丹·特纳 迪恩·奥戈曼 格拉汉姆·麦克泰维什 斯蒂芬·弗雷 米卡埃尔·佩斯布兰特,美国 / 新西兰,2014-12-17(美国) 2015-01-23(中国大陆),tt2310332,https://movie.douban.com/subject/2973079/,3,,2021-04-21
霍比特人2：史矛革之战 / The Hobbit: The Desolation of Smaug,彼得·杰克逊,伊恩·麦克莱恩 马丁·弗瑞曼 理查德·阿米蒂奇 本尼迪克特·康伯巴奇 奥兰多·布鲁姆 伊万杰琳·莉莉 李·佩斯 卢克·伊万斯 斯蒂芬·弗雷 肯·斯托特 詹姆斯·内斯比特 约翰·贝尔 马努·贝内特 杰德·布罗菲 亚当·布朗 约翰·凯伦 瑞安·盖奇 马克·哈德洛 彼得·汉布尔顿 斯蒂芬·亨特 威廉·基尔舍 西尔维斯特·迈可伊 格拉汉姆·麦克泰维什 迪恩·奥戈曼 米卡埃尔·佩斯布兰特 艾丹·特纳,美国 / 新西兰,2013-12-13(美国) 2014-02-21(中国大陆),tt1170358,https://movie.douban.com/subject/11606328/,4,,2021-04-21
霍比特人1：意外之旅 / The Hobbit: An Unexpected Journey,彼得·杰克逊,伊恩·麦克莱恩 马丁·弗瑞曼 理查德·阿米蒂奇 肯·斯托特 格拉汉姆·麦克泰维什 詹姆斯·内斯比特 迪恩·奥戈曼 艾丹·特纳 雨果·维文 凯特·布兰切特 安迪·瑟金斯 西尔维斯特·迈可伊 克里斯托弗·李 伊利亚·伍德 伊安·霍姆 李·佩斯,美国 / 新西兰,2012-11-28(新西兰首映) 2012-12-14(美国) 2013-02-22(中国大陆),tt0903624,https://movie.douban.com/subject/1966182/,4,,2021-04-20
末代皇帝 / The Last Emperor,贝纳尔多·贝托鲁奇,尊龙 陈冲 邬君梅 彼得·奥图尔 英若诚 吴涛 黄自强 丹尼斯·邓 坂本龙一 马吉·汉 里克·扬 田川洋行 苟杰德 理查德·吴 皱缇格 陈凯歌 卢燕 区亨利 陈述 鲍皓昕 黄文捷 邵茹贞 亨利·基 张良斌 梁冬 康斯坦丁·格雷戈里 黄汉琪 王涛 宋怀桂 蔡鸿翔 程淑艳 张天民,英国 / 意大利 / 中国大陆 / 法国,1987-10-04(东京国际电影节) 1987-10-23(意大利),tt0093389,https://movie.douban.com/subject/1293172/,5,,2021-04-01
风中有朵雨做的云,娄烨,井柏然 宋佳 马思纯 秦昊 陈妍希 张颂文 陈冠希 颜卓灵 王维申 胡伶 黄伊凡 陈伟榕 单宝中 梁致力 罗义民,中国大陆,2018-11-09(台北金马影展) 2019-04-04(中国大陆),tt8071308,https://movie.douban.com/subject/26728669/,4,,2021-03-26
又见奈良,鹏飞,吴彦姝 英泽 国村隼 永濑正敏 鹏飞 张巍 秋山真太郎,中国大陆 / 日本,2020-07-31(上海电影节) 2021-03-19(中国大陆),tt1132278,https://movie.douban.com/subject/30437716/,3,,2021-03-21
白日焰火,刁亦男,廖凡 桂纶镁 王学兵 王景春 余皑磊 倪景阳 常凯宁 李彩霞 李克伟 洛成 裴功勇 彭龙 于雪冬 蒋延良,中国大陆,2014-02-12(柏林电影节) 2014-03-21(中国大陆),tt3469910,https://movie.douban.com/subject/21941804/,3,,2021-03-19
波斯语课 / Persischstunden,瓦迪姆·佩尔曼,纳威尔·佩雷兹·毕斯卡亚特 拉斯·艾丁格 约纳斯·奈伊 大卫·舒特 亚历山大·拜尔 安德里亚斯·霍佛尔 莉奥妮·贝尼希 朱塞佩·希拉奇 安托尼·查隆 菲利克斯·冯·布雷多 帕斯卡尔·艾尔索 马库斯·卡尔文,俄罗斯 / 德国 / 白俄罗斯,2020-02-22(柏林电影节) 2020-09-24(德国) 2021-03-19(中国大陆),tt9738784,https://movie.douban.com/subject/30466931/,3,,2021-02-28
烈日灼心,曹保平,邓超 段奕宏 郭涛 王珞丹 吕颂贤 高虎 白柳汐 杜志国,中国大陆,2015-06-15(上海电影节) 2015-08-27(中国大陆),tt4079152,https://movie.douban.com/subject/24719063/,4,,2021-02-25
大时代 / 大時代,韦家辉,郑少秋 刘青云 周慧敏 郭蔼明 李丽珍 蓝洁瑛 邵仲衡 欧阳莎菲 陶大宇 吴启明 刘松仁 杨羚 林保怡 吴咏红,中国香港,1992-10-05(中国香港),tt0843185,https://movie.douban.com/subject/1878605/,5,,2021-02-24
天机·富春山居图,孙健君,刘德华 林志玲 张静初 佟大为 斯琴高娃 奥马尔·本·哈依德 爱新觉罗·启星 石天琦 王曼妮 张光北,中国大陆,2013-06-09(中国大陆),tt2460488,https://movie.douban.com/subject/5364905/,1,我还挺喜欢找烂片看的。。,2021-02-19
