Title,Rating,WatchedDate,Review,Year,Nation,douban_link,imdbId
不成问题的问题,4,2018/5/11,,2016/10/29,东京电影节,https://movie.douban.com/subject/26657126/,tt6128782
蓝风筝,5,2018/5/11,,1993/5/21,戛纳电影节,https://movie.douban.com/subject/1303967/,tt0107358
猫鼠游戏 / Catch Me If You Can,4,2018/4/20,,2002/12/16,洛杉矶首映,https://movie.douban.com/subject/1305487/,tt0264464
重庆森林 / 重慶森林,5,2018/4/20,,1994/7/14,中国香港,https://movie.douban.com/subject/1291999/,tt0109424
小萝莉的猴神大叔 / Bajrangi Bhaijaan,4,2018/3/28,,2015/7/17,印度,https://movie.douban.com/subject/26393561/,tt3863552
天才枪手 / ฉลาดเกมส์โกง,4,2018/3/28,,2017/5/3,泰国,https://movie.douban.com/subject/27024903/,tt6788942
神秘巨星 / Secret Superstar,4,2018/3/28,,2017/10/18,印度,https://movie.douban.com/subject/26942674/,tt6108090
唐人街探案2,4,2018/2/24,,2018/2/16,中国大陆,https://movie.douban.com/subject/26698897/,tt7752454
海边的曼彻斯特 / Manchester by the Sea,5,2018/2/20,,2016/1/23,圣丹斯电影节,https://movie.douban.com/subject/25980443/,tt4034228
步履不停 / 歩いても 歩いても,5,2018/2/19,,2008/6/28,日本,https://movie.douban.com/subject/2222996/,tt1087578
芳华,2,2018/2/18,一部很奇怪的电影，搞不懂想表达的是什么。如果仅仅想表达的是那代人的青春，那和致青春、小时代除了年代背景，没有任何区别，只不过换了个壳。也许冯导在怀念自己的青春？,2017/9/7,多伦多电影节,https://movie.douban.com/subject/26862829/,tt6654316
比海更深 / 海よりもまだ深く,5,2018/2/17,这样一个雨夜如此美好。,2016/5/18,戛纳电影节,https://movie.douban.com/subject/26694988/,tt5294966
